Counties,Measure Names,Measure Values
IRP VEHICLES **,Total Vehicles,1543511
STATEWIDE,Total Vehicles,35310563
FEE EXEMPT VEHICLES,Total Vehicles,589368
MISC VEHICLES *,Total Vehicles,128631
OUT OF STATE,Total Vehicles,215308
YUBA,Total Vehicles,71624
YOLO,Total Vehicles,185621
VENTURA,Total Vehicles,809558
TUOLUMNE,Total Vehicles,78869
TULARE,Total Vehicles,389770
TRINITY,Total Vehicles,20943
TEHAMA,Total Vehicles,75320
SUTTER,Total Vehicles,102606
STANISLAUS,Total Vehicles,495754
SONOMA,Total Vehicles,535474
SOLANO,Total Vehicles,415729
SISKIYOU,Total Vehicles,67145
SIERRA,Total Vehicles,5626
SHASTA,Total Vehicles,218975
SANTA CRUZ,Total Vehicles,263706
SANTA CLARA,Total Vehicles,1687346
SANTA BARBARA,Total Vehicles,403822
SAN MATEO,Total Vehicles,747466
SAN LUIS OBISPO,Total Vehicles,310536
SAN JOAQUIN,Total Vehicles,658887
SAN FRANCISCO,Total Vehicles,500401
SAN DIEGO,Total Vehicles,2960317
SAN BERNARDINO,Total Vehicles,1841642
SAN BENITO,Total Vehicles,64680
SACRAMENTO,Total Vehicles,1313152
RIVERSIDE,Total Vehicles,1984499
PLUMAS,Total Vehicles,33334
PLACER,Total Vehicles,421227
ORANGE,Total Vehicles,2901123
NEVADA,Total Vehicles,133503
NAPA,Total Vehicles,148855
MONTEREY,Total Vehicles,390830
MONO,Total Vehicles,17469
MODOC,Total Vehicles,13631
MERCED,Total Vehicles,227684
MENDOCINO,Total Vehicles,118699
MARIPOSA,Total Vehicles,28809
MARIN,Total Vehicles,249314
MADERA,Total Vehicles,141166
LOS ANGELES,Total Vehicles,8050850
LASSEN,Total Vehicles,37130
LAKE,Total Vehicles,90347
KINGS,Total Vehicles,113102
KERN,Total Vehicles,752051
INYO,Total Vehicles,28199
IMPERIAL,Total Vehicles,191574
HUMBOLDT,Total Vehicles,156376
GLENN,Total Vehicles,37117
FRESNO,Total Vehicles,804865
EL DORADO,Total Vehicles,229755
DEL NORTE,Total Vehicles,27951
CONTRA COSTA,Total Vehicles,1078329
COLUSA,Total Vehicles,29896
CALAVERAS,Total Vehicles,77684
BUTTE,Total Vehicles,236792
AMADOR,Total Vehicles,58185
ALPINE,Total Vehicles,3417
ALAMEDA,Total Vehicles,1338524
IRP VEHICLES **,Motorcycles,
STATEWIDE,Motorcycles,907037
FEE EXEMPT VEHICLES,Motorcycles,13930
MISC VEHICLES *,Motorcycles,
OUT OF STATE,Motorcycles,4083
YUBA,Motorcycles,2399
YOLO,Motorcycles,4419
