"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2022","AQS","060010007","1","27","ppb","25","Livermore","23","96.0000","42602","Nitrogen dioxide (NO2)","074","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/02/2022","AQS","060010007","1","21.9","ppb","20","Livermore","23","96.0000","42602","Nitrogen dioxide (NO2)","074","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/03/2022","AQS","060010007","1","20.7","ppb","19","Livermore","23","96.0000","42602","Nitrogen dioxide (NO2)","074","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/04/2022","AQS","060010007","1","22.3","ppb","21","Livermore","23","96.0000","42602","Nitrogen dioxide (NO2)","074","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/05/2022","AQS","060010007","1","7.3","ppb","7","Livermore","23","96.0000","42602","Nitrogen dioxide (NO2)","074","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/06/2022","AQS","060010007","1","10.7","ppb","9","Livermore","23","96.0000","42602","Nitrogen dioxide (NO2)","074","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/07/2022","AQS","060010007","1","20.4","ppb","19","Livermore","23","96.0000","42602","Nitrogen dioxide (NO2)","074","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/08/2022","AQS","060010007","1","22","ppb","21","Livermore","23","96.0000","42602","Nitrogen dioxide (NO2)","074","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/09/2022","AQS","060010007","1","18.6","ppb","17","Livermore","23","96.0000","42602","Nitrogen dioxide (NO2)","074","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/10/2022","AQS","060010007","1","20.2","ppb","19","Livermore","23","96.0000","42602","Nitrogen dioxide (NO2)","074","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/11/2022","AQS","060010007","1","24.3","ppb","23","Livermore","23","96.0000","42602","Nitrogen dioxide (NO2)","074","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/12/2022","AQS","060010007","1","24.5","ppb","23","Livermore","23","96.0000","42602","Nitrogen dioxide (NO2)","074","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/13/2022","AQS","060010007","1","28.1","ppb","26","Livermore","23","96.0000","42602","Nitrogen dioxide (NO2)","074","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/14/2022","AQS","060010007","1","22.6","ppb","21","Livermore","23","96.0000","42602","Nitrogen dioxide (NO2)","074","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/15/2022","AQS","060010007","1","24.5","ppb","23","Livermore","23","96.0000","42602","Nitrogen dioxide (NO2)","074","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/16/2022","AQS","060010007","1","20.7","ppb","19","Livermore","23","96.0000","42602","Nitrogen dioxide (NO2)","074","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/17/2022","AQS","060010007","1","22.4","ppb","21","Livermore","23","96.0000","42602","Nitrogen dioxide (NO2)","074","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/18/2022","AQS","060010007","1","23.6","ppb","22","Livermore","23","96.0000","42602","Nitrogen dioxide (NO2)","074","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/19/2022","AQS","060010007","1","25.7","ppb","24","Livermore","23","96.0000","42602","Nitrogen dioxide (NO2)","074","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/20/2022","AQS","060010007","1","26.4","ppb","25","Livermore","23","96.0000","42602","Nitrogen dioxide (NO2)","074","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/21/2022","AQS","060010007","1","19.8","ppb","18","Livermore","23","96.0000","42602","Nitrogen dioxide (NO2)","074","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/22/2022","AQS","060010007","1","22.5","ppb","21","Livermore","23","96.0000","42602","Nitrogen dioxide (NO2)","074","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/23/2022","AQS","060010007","1","24.3","ppb","23","Livermore","23","96.0000","42602","Nitrogen dioxide (NO2)","074","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/24/2022","AQS","060010007","1","30.5","ppb","28","Livermore","23","96.0000","42602","Nitrogen dioxide (NO2)","074","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/25/2022","AQS","060010007","1","28.5","ppb","26","Livermore","23","96.0000","42602","Nitrogen dioxide (NO2)","074","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/26/2022","AQS","060010007","1","31.9","ppb","29","Livermore","23","96.0000","42602","Nitrogen dioxide (NO2)","074","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/27/2022","AQS","060010007","1","28.8","ppb","26","Livermore","23","96.0000","42602","Nitrogen dioxide (NO2)","074","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/28/2022","AQS","060010007","1","31.8","ppb","29","Livermore","23","96.0000","42602","Nitrogen dioxide (NO2)","074","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/29/2022","AQS","060010007","1","26.1","ppb","25","Livermore","23","96.0000","42602","Nitrogen dioxide (NO2)","074","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/30/2022","AQS","060010007","1","25.3","ppb","24","Livermore","23","96.0000","42602","Nitrogen dioxide (NO2)","074","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"01/31/2022","AQS","060010007","1","24.8","ppb","23","Livermore","23","96.0000","42602","Nitrogen dioxide (NO2)","074","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/01/2022","AQS","060010007","1","28.2","ppb","26","Livermore","23","96.0000","42602","Nitrogen dioxide (NO2)","074","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/02/2022","AQS","060010007","1","30","ppb","28","Livermore","23","96.0000","42602","Nitrogen dioxide (NO2)","074","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
"02/03/2022","AQS","060010007","1","29.6","ppb","27","Livermore","23","96.0000","42602","Nitrogen dioxide (NO2)","074","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.687526","-121.784217"
