COUNTY,YEARS,STRATA,AGE GROUP,LIFETIME PREVALENCE,95% CONFIDENCE INTERVAL,COUNTIES GROUPED,COMMENT
California,2015–2016,Total population,All ages,14.800,(14.0–15.7),,
Alameda,2015–2016,Total population,All ages,14.300,(10.7–17.9),,
Alpine,2015–2016,Total population,All ages,14.200,(7.2–21.1),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Amador,2015–2016,Total population,All ages,14.200,(7.2–21.1),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Butte,2015–2016,Total population,All ages,14.700,(7.8–21.6),,
Calaveras,2015–2016,Total population,All ages,14.200,(7.2–21.1),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Colusa,2015–2016,Total population,All ages,14.000,(7.4–20.5),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Contra Costa,2015–2016,Total population,All ages,20.700,(13.8–27.6),,
Del Norte,2015–2016,Total population,All ages,14.600,(4.8–24.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
El Dorado,2015–2016,Total population,All ages,25.200,(12.5–37.8),,
Fresno,2015–2016,Total population,All ages,16.300,(10.7–22.0),,
Glenn,2015–2016,Total population,All ages,14.000,(7.4–20.5),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Humboldt,2015–2016,Total population,All ages,18.100,(7.4–28.8),,
Imperial,2015–2016,Total population,All ages,15.100,(9.6–20.7),,
Inyo,2015–2016,Total population,All ages,14.200,(7.2–21.1),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Kern,2015–2016,Total population,All ages,23.700,(16.4–31.0),,
Kings,2015–2016,Total population,All ages,26.700,(16.5–36.8),,
Lake,2015–2016,Total population,All ages,21.400,(13.0–29.9),,
Lassen,2015–2016,Total population,All ages,14.600,(4.8–24.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Los Angeles,2015–2016,Total population,All ages,12.700,(11.0–14.3),,
Madera,2015–2016,Total population,All ages,17.100,(9.2–25.1),,
Marin,2015–2016,Total population,All ages,10.800,(7.8–13.7),,
Mariposa,2015–2016,Total population,All ages,14.200,(7.2–21.1),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Mendocino,2015–2016,Total population,All ages,16.500,(8.7–24.4),,
Merced,2015–2016,Total population,All ages,18.400,(9.5–27.3),,
Modoc,2015–2016,Total population,All ages,14.600,(4.8–24.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Mono,2015–2016,Total population,All ages,14.200,(7.2–21.1),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Monterey,2015–2016,Total population,All ages,12.400,(6.6–18.2),,
Napa,2015–2016,Total population,All ages,20.100,(10.8–29.3),,
Nevada,2015–2016,Total population,All ages,10.700,(4.6–16.8),,
Orange,2015–2016,Total population,All ages,12.800,(9.1–16.4),,
Placer,2015–2016,Total population,All ages,14.800,(7.9–21.6),,
Plumas,2015–2016,Total population,All ages,14.600,(4.8–24.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Riverside,2015–2016,Total population,All ages,15.500,(11.0–20.1),,
Sacramento,2015–2016,Total population,All ages,18.800,(14.0–23.6),,
San Benito,2015–2016,Total population,All ages,13.400,(5.8–20.9),,
San Bernardino,2015–2016,Total population,All ages,15.900,(12.7–19.2),,
San Diego,2015–2016,Total population,All ages,14.100,(11.9–16.2),,
San Francisco,2015–2016,Total population,All ages,15.000,(9.2–20.7),,
San Joaquin,2015–2016,Total population,All ages,14.300,(9.1–19.5),,
San Luis Obispo,2015–2016,Total population,All ages,11.100,(5.5–16.8),,
San Mateo,2015–2016,Total population,All ages,18.000,(12.4–23.7),,
Santa Barbara,2015–2016,Total population,All ages,13.000,(4.9–21.2),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Santa Clara,2015–2016,Total population,All ages,11.700,(8.3–15.1),,
Santa Cruz,2015–2016,Total population,All ages,19.200,(12.6–25.8),,
Shasta,2015–2016,Total population,All ages,12.100,(6.9–17.2),,
Sierra,2015–2016,Total population,All ages,14.600,(4.8–24.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Siskiyou,2015–2016,Total population,All ages,14.600,(4.8–24.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Solano,2015–2016,Total population,All ages,21.400,(13.1–29.8),,
Sonoma,2015–2016,Total population,All ages,16.300,(8.6–24.1),,
Stanislaus,2015–2016,Total population,All ages,18.800,(11.4–26.2),,
Sutter,2015–2016,Total population,All ages,18.400,(5.2–31.5),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Tehama,2015–2016,Total population,All ages,14.000,(7.4–20.5),"Colusa, Glenn, and Tehama counties combined combined for analysis",
Trinity,2015–2016,Total population,All ages,14.600,(4.8–24.5),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Tulare,2015–2016,Total population,All ages,14.700,(9.8–19.6),,
Tuolumne,2015–2016,Total population,All ages,14.200,(7.2–21.1),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
Ventura,2015–2016,Total population,All ages,15.100,(11.1–19.1),,
Yolo,2015–2016,Total population,All ages,17.200,(5.3–29.1),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Yuba,2015–2016,Total population,All ages,20.200,(12.6–27.7),,
California,2015–2016,Child vs. adult,0–17 years,14.500,(12.2–16.8),,
Alameda,2015–2016,Child vs. adult,0–17 years,18.400,(6.2–30.6),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Alpine,2015–2016,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to small numbers of survey responses
Amador,2015–2016,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to small numbers of survey responses
Butte,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Calaveras,2015–2016,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to small numbers of survey responses
Colusa,2015–2016,Child vs. adult,0–17 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to small numbers of survey responses
Contra Costa,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Del Norte,2015–2016,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to small numbers of survey responses
El Dorado,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Fresno,2015–2016,Child vs. adult,0–17 years,18.100,(4.5–31.6),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Glenn,2015–2016,Child vs. adult,0–17 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to small numbers of survey responses
Humboldt,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
Imperial,2015–2016,Child vs. adult,0–17 years,22.000,(7.8–36.2),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Inyo,2015–2016,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to small numbers of survey responses
Kern,2015–2016,Child vs. adult,0–17 years,31.800,(16.7–46.8),,
Kings,2015–2016,Child vs. adult,0–17 years,33.100,(9.3–57.0),,Prevalence estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
Lake,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to small numbers of survey responses
