# Title: July 2021 - June 2022 Contiguous U.S. County Precipitation
# Units: Inches
# Missing: -99
# Note: Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,60.36,6.8,97,53.56
AL-003,Baldwin County,Alabama,62.62,0.66,74,61.96
AL-005,Barbour County,Alabama,53.25,0.94,66,52.31
AL-007,Bibb County,Alabama,62.4,7.13,107,55.27
AL-009,Blount County,Alabama,66.32,10.67,113,55.65
AL-011,Bullock County,Alabama,57.86,5.79,91,52.07
AL-013,Butler County,Alabama,62.68,6.96,98,55.72
AL-015,Calhoun County,Alabama,58.43,5.02,91,53.41
AL-017,Chambers County,Alabama,56.87,3.55,83,53.32
AL-019,Cherokee County,Alabama,61.53,7.95,109,53.58
AL-021,Chilton County,Alabama,63.9,9.64,113,54.26
AL-023,Choctaw County,Alabama,59.07,2.2,76,56.87
AL-025,Clarke County,Alabama,58.21,0.28,66,57.93
AL-027,Clay County,Alabama,63.43,7.56,104,55.87
AL-029,Cleburne County,Alabama,60.04,6.08,96,53.96
AL-031,Coffee County,Alabama,53.1,-3.12,48,56.22
AL-033,Colbert County,Alabama,65.58,11.99,115,53.59
AL-035,Conecuh County,Alabama,63.82,5.79,94,58.03
AL-037,Coosa County,Alabama,65.49,10.81,114,54.68
AL-039,Covington County,Alabama,58.65,-0.01,65,58.66
AL-041,Crenshaw County,Alabama,60.87,5.5,95,55.37
AL-043,Cullman County,Alabama,66.72,10.55,116,56.17
AL-045,Dale County,Alabama,52.44,-1.98,48,54.42
AL-047,Dallas County,Alabama,56.14,3.29,87,52.85
AL-049,DeKalb County,Alabama,64.46,8.95,112,55.51
AL-051,Elmore County,Alabama,64.79,11.31,120,53.48
AL-053,Escambia County,Alabama,64.99,4.52,87,60.47
AL-055,Etowah County,Alabama,61.63,7.14,103,54.49
AL-057,Fayette County,Alabama,61.81,5.49,95,56.32
AL-059,Franklin County,Alabama,69.5,14.74,122,54.76
AL-061,Geneva County,Alabama,55.86,-1.37,57,57.23
AL-063,Greene County,Alabama,57.79,4.81,92,52.98
AL-065,Hale County,Alabama,55.56,1.79,78,53.77
AL-067,Henry County,Alabama,54.58,1.23,72,53.35
AL-069,Houston County,Alabama,60.11,5.94,92,54.17
AL-071,Jackson County,Alabama,65.6,10.84,116,54.76
AL-073,Jefferson County,Alabama,69.88,14.27,122,55.61
AL-075,Lamar County,Alabama,62.65,7.65,102,55
AL-077,Lauderdale County,Alabama,64.7,10.67,112,54.03
AL-079,Lawrence County,Alabama,66.68,13.22,119,53.46
AL-081,Lee County,Alabama,59.07,6.77,100,52.3
AL-083,Limestone County,Alabama,67.2,13.43,120,53.77
AL-085,Lowndes County,Alabama,58.83,6.45,105,52.38
AL-087,Macon County,Alabama,60.33,8.6,110,51.73
AL-089,Madison County,Alabama,68.63,14.24,123,54.39
AL-091,Marengo County,Alabama,56.83,2.62,81,54.21
AL-093,Marion County,Alabama,68.4,12.75,109,55.65
AL-095,Marshall County,Alabama,63.33,8.9,107,54.43
AL-097,Mobile County,Alabama,62.84,0.28,68,62.56
AL-099,Monroe County,Alabama,61.77,4.5,91,57.27
AL-101,Montgomery County,Alabama,62.55,10.41,117,52.14
AL-103,Morgan County,Alabama,65.89,11.88,118,54.01
AL-105,Perry County,Alabama,57.86,4.21,95,53.65
AL-107,Pickens County,Alabama,60.07,6.64,96,53.43
AL-109,Pike County,Alabama,56.27,1.88,76,54.39
AL-111,Randolph County,Alabama,58.08,3.38,78,54.7
AL-113,Russell County,Alabama,55.61,5.75,93,49.86
AL-115,St. Clair County,Alabama,67.05,11.86,117,55.19
AL-117,Shelby County,Alabama,71.57,16.61,124,54.96
AL-119,Sumter County,Alabama,56.56,2.44,80,54.12
AL-121,Talladega County,Alabama,64.06,10.3,111,53.76
AL-123,Tallapoosa County,Alabama,61.28,7.03,103,54.25
AL-125,Tuscaloosa County,Alabama,58.66,3.2,85,55.46
AL-127,Walker County,Alabama,65.93,9.32,112,56.61
AL-129,Washington County,Alabama,62.43,2.71,76,59.72
AL-131,Wilcox County,Alabama,57.79,3.49,91,54.3
AL-133,Winston County,Alabama,69.89,13.39,118,56.5
AZ-001,Apache County,Arizona,12.43,-1,58,13.43
AZ-003,Cochise County,Arizona,15.38,0.81,85,14.57
AZ-005,Coconino County,Arizona,11.58,-1.98,47,13.56
AZ-007,Gila County,Arizona,21.22,0.54,82,20.68
AZ-009,Graham County,Arizona,16.36,1.17,84,15.19
AZ-011,Greenlee County,Arizona,16.74,-0,70,16.74
AZ-012,La Paz County,Arizona,4.33,-1.63,39,5.96
AZ-013,Maricopa County,Arizona,10.07,0.83,89,9.24
AZ-015,Mohave County,Arizona,7.66,-2.89,24,10.55
AZ-017,Navajo County,Arizona,11.5,-0.83,65,12.33
AZ-019,Pima County,Arizona,14.32,1.87,97,12.45
AZ-021,Pinal County,Arizona,13.84,1.34,90,12.5
AZ-023,Santa Cruz County,Arizona,19.98,1.62,89,18.36
AZ-025,Yavapai County,Arizona,13.09,-3.14,41,16.23
AZ-027,Yuma County,Arizona,4.35,-0.51,62,4.86
AR-001,Arkansas County,Arkansas,41.59,-9.47,19,51.06
AR-003,Ashley County,Arkansas,43.52,-9.56,24,53.08
AR-005,Baxter County,Arkansas,46.44,3,77,43.44
AR-007,Benton County,Arkansas,51.61,6.26,100,45.35
AR-009,Boone County,Arkansas,44.26,0.56,67,43.7
AR-011,Bradley County,Arkansas,50.25,-1.77,53,52.02
AR-013,Calhoun County,Arkansas,52.84,1.17,69,51.67
AR-015,Carroll County,Arkansas,45.14,0.44,69,44.7
AR-017,Chicot County,Arkansas,46.6,-6.36,36,52.96
AR-019,Clark County,Arkansas,47.6,-4.03,46,51.63
AR-021,Clay County,Arkansas,55.06,7.25,102,47.81
AR-023,Cleburne County,Arkansas,52.38,2.31,76,50.07
AR-025,Cleveland County,Arkansas,53.99,2.4,78,51.59
AR-027,Columbia County,Arkansas,43.18,-8.01,28,51.19
AR-029,Conway County,Arkansas,46.89,-2.2,52,49.09
AR-031,Craighead County,Arkansas,47.89,-0.64,56,48.53
AR-033,Crawford County,Arkansas,50.49,2.75,76,47.74
AR-035,Crittenden County,Arkansas,54.83,4.83,94,50
AR-037,Cross County,Arkansas,53.54,3.16,83,50.38
AR-039,Dallas County,Arkansas,52.5,1.15,70,51.35
AR-041,Desha County,Arkansas,46.93,-4.56,38,51.49
AR-043,Drew County,Arkansas,48.69,-3.94,44,52.63
AR-045,Faulkner County,Arkansas,50.7,0.34,68,50.36
AR-047,Franklin County,Arkansas,52.32,4.19,85,48.13
AR-049,Fulton County,Arkansas,48.21,2.94,79,45.27
AR-051,Garland County,Arkansas,49.72,-2.94,55,52.66
AR-053,Grant County,Arkansas,52.67,1.12,75,51.55
AR-055,Greene County,Arkansas,49.98,2.21,77,47.77
AR-057,Hempstead County,Arkansas,48.79,-1.87,58,50.66
AR-059,Hot Spring County,Arkansas,48.91,-3.49,49,52.4
AR-061,Howard County,Arkansas,49.79,-2.25,52,52.04
AR-063,Independence County,Arkansas,51.57,3.17,79,48.4
AR-065,Izard County,Arkansas,49.32,3.55,84,45.77
AR-067,Jackson County,Arkansas,50.32,1.58,75,48.74
AR-069,Jefferson County,Arkansas,48.16,-3.09,50,51.25
AR-071,Johnson County,Arkansas,52.23,2.76,78,49.47
AR-073,Lafayette County,Arkansas,41.99,-7.96,30,49.95
AR-075,Lawrence County,Arkansas,49.93,2.49,81,47.44
AR-077,Lee County,Arkansas,55.04,3.92,87,51.12
AR-079,Lincoln County,Arkansas,49.65,-2.61,51,52.26
AR-081,Little River County,Arkansas,42.83,-5.93,39,48.76
AR-083,Logan County,Arkansas,48.66,1.8,78,46.86
AR-085,Lonoke County,Arkansas,49.4,-0.71,61,50.11
AR-087,Madison County,Arkansas,49.28,1.58,75,47.7
AR-089,Marion County,Arkansas,45.56,2.55,75,43.01
AR-091,Miller County,Arkansas,41.59,-7.42,33,49.01
AR-093,Mississippi County,Arkansas,48.78,0.18,66,48.6
AR-095,Monroe County,Arkansas,46.75,-3.85,43,50.6
AR-097,Montgomery County,Arkansas,53.66,1.16,70,52.5
AR-099,Nevada County,Arkansas,48.76,-2.4,56,51.16
AR-101,Newton County,Arkansas,49.66,1.41,70,48.25
AR-103,Ouachita County,Arkansas,48.15,-3.28,46,51.43
AR-105,Perry County,Arkansas,47.95,-1.09,59,49.04
AR-107,Phillips County,Arkansas,47.36,-4.37,41,51.73
AR-109,Pike County,Arkansas,50.59,-2.39,54,52.98
AR-111,Poinsett County,Arkansas,49.2,0.06,62,49.14
AR-113,Polk County,Arkansas,52.9,0.04,66,52.86
AR-115,Pope County,Arkansas,49.2,-0.22,61,49.42
AR-117,Prairie County,Arkansas,48.06,-2.08,55,50.14
