# Title: July 2021 - June 2022 Contiguous U.S. County Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
# Note: Period of Record: 129 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,66,2,122,63.9
AL-003,Baldwin County,Alabama,68.9,2.1,121,66.8
AL-005,Barbour County,Alabama,66,1.2,111,64.8
AL-007,Bibb County,Alabama,64.2,1.4,114,62.8
AL-009,Blount County,Alabama,62.9,2.3,120,60.6
AL-011,Bullock County,Alabama,65.5,1.4,115,64.1
AL-013,Butler County,Alabama,66.4,1.9,122,64.6
AL-015,Calhoun County,Alabama,63,2,119,61
AL-017,Chambers County,Alabama,63,1.4,113,61.6
AL-019,Cherokee County,Alabama,62.4,1.7,120,60.6
AL-021,Chilton County,Alabama,64.6,1.9,121,62.7
AL-023,Choctaw County,Alabama,66.6,2.1,123,64.5
AL-025,Clarke County,Alabama,67,2.1,124,64.9
AL-027,Clay County,Alabama,62.3,1.6,116,60.7
AL-029,Cleburne County,Alabama,62,2.1,119,59.9
AL-031,Coffee County,Alabama,67.1,1.7,122,65.4
AL-033,Colbert County,Alabama,62.2,2.2,123,59.9
AL-035,Conecuh County,Alabama,67.5,2.1,123,65.4
AL-037,Coosa County,Alabama,63.9,1.6,117,62.3
AL-039,Covington County,Alabama,67.3,1.7,122,65.6
AL-041,Crenshaw County,Alabama,66.1,1.7,121,64.4
AL-043,Cullman County,Alabama,62.4,2.1,119,60.3
AL-045,Dale County,Alabama,67.2,1.6,117,65.7
AL-047,Dallas County,Alabama,66.3,1.9,120,64.3
AL-049,DeKalb County,Alabama,60.6,1.3,113,59.3
AL-051,Elmore County,Alabama,65.5,1.7,119,63.8
AL-053,Escambia County,Alabama,68.1,2.1,124,66
AL-055,Etowah County,Alabama,62.8,1.9,119,60.9
AL-057,Fayette County,Alabama,63.5,1.5,109,62
AL-059,Franklin County,Alabama,62,2.1,123,59.9
AL-061,Geneva County,Alabama,67.6,1.5,118,66.1
AL-063,Greene County,Alabama,65,1.1,106,63.9
AL-065,Hale County,Alabama,64.6,0.9,98,63.7
AL-067,Henry County,Alabama,67.1,1.4,116,65.7
AL-069,Houston County,Alabama,67.8,1.3,115,66.5
AL-071,Jackson County,Alabama,60.9,1.5,118,59.4
AL-073,Jefferson County,Alabama,63.8,1.9,119,61.8
AL-075,Lamar County,Alabama,63.8,1.7,115,62.1
AL-077,Lauderdale County,Alabama,61.4,1.9,118,59.5
AL-079,Lawrence County,Alabama,61.4,1.3,110,60.1
AL-081,Lee County,Alabama,63.6,0.6,89,63
AL-083,Limestone County,Alabama,61.1,1.2,105,59.9
AL-085,Lowndes County,Alabama,66.6,2,122,64.6
AL-087,Macon County,Alabama,64.9,0.9,101,64
AL-089,Madison County,Alabama,61.4,1.4,111,59.9
AL-091,Marengo County,Alabama,65.7,1.4,111,64.3
AL-093,Marion County,Alabama,62.3,1.6,114,60.8
AL-095,Marshall County,Alabama,62.2,1.9,120,60.3
AL-097,Mobile County,Alabama,68.5,2,119,66.4
AL-099,Monroe County,Alabama,67.5,2.4,124,65.1
AL-101,Montgomery County,Alabama,66.5,2,121,64.5
AL-103,Morgan County,Alabama,61.8,1.6,115,60.2
AL-105,Perry County,Alabama,65,1.4,113,63.6
AL-107,Pickens County,Alabama,64.8,1.7,116,63.1
AL-109,Pike County,Alabama,66.1,1.5,115,64.7
AL-111,Randolph County,Alabama,62.5,2,119,60.5
AL-113,Russell County,Alabama,64.8,0.6,88,64.2
AL-115,St. Clair County,Alabama,63.1,1.9,118,61.2
AL-117,Shelby County,Alabama,63.8,1.7,117,62
AL-119,Sumter County,Alabama,65.4,1.4,109,64
AL-121,Talladega County,Alabama,63.3,1.6,113,61.8
AL-123,Tallapoosa County,Alabama,63.4,1.2,112,62.2
AL-125,Tuscaloosa County,Alabama,64.3,1.3,107,63.1
AL-127,Walker County,Alabama,63.2,1.6,116,61.6
AL-129,Washington County,Alabama,67.5,2.1,125,65.4
AL-131,Wilcox County,Alabama,66.7,2,123,64.7
AL-133,Winston County,Alabama,61.6,1.4,115,60.2
AZ-001,Apache County,Arizona,52,2.2,123,49.8
AZ-003,Cochise County,Arizona,62,1.7,111,60.3
AZ-005,Coconino County,Arizona,54.7,3,124,51.7
AZ-007,Gila County,Arizona,61.2,2.6,122,58.5
AZ-009,Graham County,Arizona,62.1,1.8,115,60.2
AZ-011,Greenlee County,Arizona,58.1,2.4,120,55.8
AZ-012,La Paz County,Arizona,73.6,3.3,126,70.3
AZ-013,Maricopa County,Arizona,72,2.8,121,69.2
AZ-015,Mohave County,Arizona,64.3,2.9,123,61.4
AZ-017,Navajo County,Arizona,53.6,2.4,121,51.2
AZ-019,Pima County,Arizona,68.9,2.4,120,66.5
AZ-021,Pinal County,Arizona,70,2.4,116,67.7
AZ-023,Santa Cruz County,Arizona,61.5,1.6,107,59.9
AZ-025,Yavapai County,Arizona,61.4,3.1,125,58.2
AZ-027,Yuma County,Arizona,74.2,3.3,124,70.9
AR-001,Arkansas County,Arkansas,64,1.8,120,62.1
